Courier Slug,Courier Name
logisters,Logisters
shippie,Shippie
htdkgroup-webhook,HTDK (Shanghai)
tfm,TFM Xpress
expressone,EXPRESSONE
croshot,Croshot
dbschenker-iceland-ftp,DB Schenker Iceland
mensajerosurbanos-api,Mensajeros Urbanos
fedex,FedEx®
paper-express,Paper Express
okayparcel,OkayParcel
ark-logistics,ARK Logistics
tooexpress,Too Express
swiship-jp,Swiship JP
ontrac-api,OnTrac
aquiline,Aquiline
parcel2go,Parcel2Go
jamef-web,JAMEF
airmee-webhook,Airmee
belpost,Belpost
relay,Relay
direx,Direx
janio,Janio Asia
kerrytj,Kerry TJ Logistics
bh-posta,JP BH Pošta
gemworldwide,GEM Worldwide
kwt,Shenzhen Jinghuada Logistics Co., Ltd
taxydromiki,Geniki Taxydromiki
dragonstarcurier,Dragon Star Curier
post-slovenia,Post of Slovenia
redur-es,Redur Spain
gls-hun-api,GLS Hungary
bh-worldwide,B&H Worldwide
specialisedfreight-za,Specialised Freight
tipsa,TIPSA
auexpress,Au Express
kng,Keuhne + Nagel Global
mwd,Metropolitan Warehouse & Delivery
chronopost-france,Chronopost France
sglink,SG LINK
malaysia-post-posdaftar,Malaysia Post - Registered
gopeople,Go People
etower,eTower
cjpacket,CJ Packet
courierit,Courier IT
asigna,ASIGNA
home-delivery-solutions,Home Delivery Solutions Ltd
etomars,Etomars
interparcel-uk,Interparcel UK
wedo,WeDo Logistics
worldcourier,World Courier
bfe-express,BFE Express
dhlparcel-es,DHL Parcel Spain
correosexpress,Correos Express
moovin,Moovin
nova-poshta,Nova Poshta
eparcel-kr,eParcel Korea
dtdc-express,DTDC Express Global PTE LTD
gati-kwe,Gati-KWE
dajin,Shanghai Aqrum Chemical Logistics Co.Ltd
dsv-za-sftp,DSV
basic-shipping,Basic Shipping
navlungo,Navlungo
austrian-post-registered,Austrian Post (Registered)
amsegroup,AMS Group
szendex,SZENDEX
costmeticsnow,Cosmetics Now
dbschenker-sv,DB Schenker Sweden
apg-global,APG Global
spflylogistica-webhook,SPFly Logística
apc,APC Postal Logistics
zes-express,Eshun international Logistic
parcel-force,Parcel Force
dpd-uk,DPD UK
dhl-supply-chain-au-sftp,DHL Supply Chain Australia
padtf,平安达腾飞快递
easy-express,Easy Express
dhlparcel-uk-api,DHL eCommerce UK
shyplite,Shypmax
idexpress,IDEX
kargomkolay,KargomKolay (CargoMini)
andreani,Grupo logistico Andreani
burd,Burd Delivery Aps
zeleris,Zeleris
multientregapanama,Multientrega
correos-de-mexico,Correos de Mexico
collectplus,Collect+
urvaam,Urvaam
ruston,Ruston
ao-deutschland,AO Deutschland Ltd.
jawar,Jawar
morelink,Morelink
uc56,ucexpress
agediss-sftp,Agediss
efs,EFS (E-commerce Fulfillment Service)
yto,YTO Express
tourline,CTT Express
janco,Janco Ecommerce
packaly,Packaly
directfreight-au-ref,Direct Freight Express
raiderex,RaidereX
bluestar,Blue Star
agility,Agility
cle-logistics,CL E-Logistics Solutions Limited
cacesa,Cacesa
cj-korea-thai,CJ Korea Express
etonas,Etonas
mikropakket-be,Mikropakket Belgium
parknparcel,Park N Parcel
brt-it-parcelid,BRT Bartolini(Parcel ID)
spx-th,Shopee Express (Thailand)
emiro,Emiro
cyprus-post,Cyprus Post
rpxlogistics,RPX Logistics
lietuvos-pastas,Lietuvos Paštas
sendit,Sendit
ecms,ECMS International Logistics Co., Ltd.
tnt-au,TNT Australia
directcouriers-ftp,Direct Couriers
amazon-mcf,Amazon MCF
stream,Stream
safexpress,Safexpress
alliedexpress,Allied Express
bestfulfillpacket,Bestfulfillpacket
homelogistics,Home Logistics
dayton-freight,Dayton Freight
logysto,Logysto
tforce-freight,Tforce-freight
zyou,ZYEX
ubi-logistics,UBI Smart Parcel
imxmail,IMX Mail
shree-maruti,Shree Maruti Integrated Logistics Limited
dpd-prt,DPD Portugal
cchezvous-sftp,C Chez Vous
professional-couriers,Professional Couriers
nox-night-time-express,NOX NightTimeExpress
parcelstars,Parcelstars
yunexpress,YunExpress
parcalogistics-webhook,Parca Logistics
xmszm,xmszm
pflogistics,PFL
paack-webhook,Paack
besttransport-sftp,Best Transport
simpletire-webhook,SimpleTire
shiprocket,Shiprocket X
sfcservice,SFC-SendfromChina
fan,FAN COURIER EXPRESS
descartes,Innovel
adsone,ADSOne
yycom,HUAHANG EXPRESS
peri-logistics,Peri Logistics
afllog-ftp,AFL LOGISTICS
ecoscooting,ECOSCOOTING
orlenpaczka,ORLEN Paczka
hh-exp,Hua Han Logistics
hkd,HKD International Logistics
xpo-fr-ftp,XPO Last Mile France
crlexpress,CRL Express
equick-cn,Equick China
gw-world,Gebrüder Weiss
braspress-web,BrasPress
ase,ASE KARGO
carriers,Carriers
firstmile,FirstMile
yrc,YRC
winit,WINIT
dpd-nl,DPD Netherlands
richmom,Rich Mom
postplus,PostPlus
omniva-api,Omniva
intel-valley,Intel-Valley Supply chain (ShenZhen) Co. Ltd
exapaq,DPD France (formerly exapaq)
p2p-delivery-api,P2P Delivery Ltd
ekol-api,Ekol Lojistik
gangbao,GANGBAO Supplychain
thenile-webhook,SortHub
bgpost,Bulgarian Posts
pallet-network,The Pallet Network
mhi,Mhi
trumpcard,TRUMPCARD LLC
barsan,Barsan Global Lojistik
ukrposhta,UkrPoshta
tomydoor,EM Freight
fastway-nz,Fastway New Zealand
optimacourier,Optima Courier
colis-prive,Colis Privé
weship,WeShip
uparcel,uParcel
precision-deliveries,Precision Deliveries
mikropakket,Mikropakket
ziingfinalmile,Ziing
swiss-universal-express,Swiss Universal Express
ocasa-ftp,Ocasa
kerry-logistics,Kerry Express Thailand
sf-express,SF Express
setel,Setel Express
postaplus,Posta Plus
dms-matrix,DMSExpress
courant-plus-api,Courant Plus
onway-webhook,On Way
pan-asia,Pan-Asia International
endeavour-delivery,Endeavour Delivery
glovo,Glovo
rangel-api,Rangel
bluex,Blue Express
flashexpress-ph-api,Flash Express PH
dbschenker-b2b,DB Schenker B2B
overseas-hr,Overseas Express
postnl-api,PostNL Domestic
emiratescx-webhook,Emirates Courier Express
dex-i,DEX-I
airterra,Quiet Platforms
spx-vn,Shopee Express (Vietnam)
cope,Cope Sensitive Freight
spreetail-api,Spreetail
dbschenker-se,DB Schenker
dpd-api,DPD
bestwayparcel,Best Way Parcel
3pe-express,3PE Express
singapore-post,Singapore Post
ilyanglogis,Ilyang logistics
bdmnet,BDMnet
estafeta,Estafeta
thaiparcels,TP Logistic
ydh-express,YDH express
dhl-germany-api,Deutsche Post DHL
stop-start-api,Stop Start Transport Ltd
ivoy-webhook,Ivoy
kiwi-express-webhook,Kiwi Express Couriers
lagermax-sftp,Lagermax
morning-express,Morning Express
seabourne-api,Seabourne Logistics
bjshomedelivery,BJS Distribution, Storage & Couriers
rendr-webhook,Rendr
ata,ATA
a1post,A1Post
mglobal,PT MGLOBAL LOGISTICS INDONESIA
vpd-sftp,VPD
associated-couriers,Associated Couriers
cdldelivers-api,CDL Last Mile
tipsa-ref,Tipsa Reference
ecexpress,ECexpress
javit,Javit
ceskaposta-api,Czech Post
bert-fr,Bert Transport
skynetworldwide,SkyNet Worldwide Express
kerry-express-tw-api,Kerry Express TaiWan
sailpost,SAILPOST SPA
bondscouriers,Bonds Couriers
dhl-active-tracing,DHL Active Tracing
interlink-express-reference,DPD Local reference
mnx,MNX
m3logistics,M3 Logistics
bigsmart,Big Smart
yifan,YiFan Express
ups-freight,UPS Freight
singlobal-express,Sin Global Express
post-serbia,Post Serbia
speedcouriers-gr,Speed Couriers
obibox,Obibox
cn-express,CN Express
mailplus,MailPlus
tnt-it,TNT Italy
geodis-calberson-fr,GEODIS - Distribution & Express
yodel-international,Yodel International
tourline-reference,Tourline Express
posti,Posti
yanwen-express,Yanwen Express
delhivery,Delhivery
rodonaves,Rodonaves
qintl-api,Quickstat Courier LLC
pgeon-api,Pgeon
xde-webhook,Ximex Delivery Express
amazon-es,Amazon
gwlogis-api,G.I.G
danske-fragt,Danske Fragtmænd
ocs,OCS ANA Group
dtd,DTD Express
pandago-ph-api,Pandago
huantong,HuanTong
new-zealand-post,NZ Post
skyking,Sky King
kdl-sftp,SPH KDL
nationwide-my,Nationwide Express
hermes-2mann-handling,Hermes Einrichtungs Service GmbH & Co. KG
lonestar,Lone Star Overnight
matdespatch,Matdespatch
first-logistics-api,First Logistics
finmile,Fin Mile
dpd-hungary-ftp,DPD Hungary
hermes-de,Hermes Germany
pil-logistics,PIL Logistics (China) Co., Ltd
ransa-webhook,Ransa
thenile,SortHub
gls-spain,GLS Spain
mailamericas,MailAmericas
uk-mail,UK Mail
empsexpress,EMPS Express
fastrak-th,Fastrak Services
hx-express,HX Express
cubyn,Cubyn
myhermes-uk,EVRi
dnj-express,DNJ Express
fastdespatch,Fast Despatch Logistics Limited
yodel,Yodel Domestic
directfreight-au,Direct Freight Express
bluedart,Bluedart
taqbin-jp,Yamato Japan
daeshin,Daeshin
dpd-de,DPD Germany
jtexpress-vn,J&T Express Vietnam
team-global-express-webhook,Team Global Express
u-envios,U-ENVIOS
gls-hun,GLS Hungary
cj-malaysia-international,CJ Century (International)
simplypost,J&T Express Singapore
greyhound,Greyhound
cago,Cago
dpd-hungary-web,DPD Hungary
asendia-uk,Asendia UK
smooth,Smooth Couriers
otschile,OTS
designertransport-webhook,Designer Transport
copa-courier,Copa Airlines Courier
swiftx,SwiftX
abxexpress-my,KEX Express
dx-b2b-connum,DX (B2B)
boxcheck-webhook,Boxcheck
shreeanjanicourier,Shree Anjani Courier
gsi-express,GSI EXPRESS
ghn,Giao hàng nhanh
piggyship,PIGGYSHIP
ithinklogistics,iThink Logistics
jumppoint-api,Jumppoint
vtfe,VT Freight Express
uds,United Delivery Service
transligue-web,transligue
6ls,绿色国际速递
cae-delivers,CAE Delivers
heppner-fr,Heppner France
ninjavan-my,Ninja Van Malaysia
pickupp-mys,PICK UPP
first-flight,First Flight Couriers
far-international,FAR international
idexpress-id,iDexpress Indonesia
yakit,Yakit
xyy,Xingyunyi Logistics
flipxp,FlipXpress
dhl-pieceid,DHL Express (Piece ID)
nox-nachtexpress,Innight Express Germany GmbH (nox NachtExpress)
usf-reddaway,USF Reddaway
ppl,Professional Parcel Logistics
inexpost,Inexpost
floship,Floship
mysendle-api,mySendle
xgs,XGS
lao-post,Lao Post
sinotrans,Sinotrans
cdldelivers,CDL Last Mile
city56-webhook,City Express
castleparcels,Castle Parcels
asendia-usa,Asendia USA
zjs-express,ZJS International
zoom2u-webhook,Zoom2U
acommerce,aCommerce
danmark-post,PostNord Denmark
palexpress,PAL Express Limited
deutsch-post-api,Deutsche Post Mail
land-logistics,Land Logistics
destiny,Destiny Transportation
jindouyun,金斗云物流
pickup,Pickupp
transmission-nl,TransMission
nytlogistics,NYT SUPPLY CHAIN LOGISTICS Co.,LTD
urbify,Urbify
lion-parcel,Lion Parcel
routific-webhook,Routific
qxpress,TracX Logis
mydhl-api,DHL
orangeconnex,Orange Connex
ontime,Ontime
teamexpressllc,Team Express Service LLC
youparcel,YouParcel
total-express,Total Express
2ebox,2ebox
cjlogistics,CJ Logistics International
starken,STARKEN
doordash-webhook,DoorDash
omniparcel,Omni Parcel
gls-netherlands-api,GLS Netherlands
iml,IML
800bestex,Best Express
nox-nachtexpress-ftp,Innight Express Germany GmbH (nox NachtExpress)
99minutos,99minutos
thijs-nl,Thijs Logistiek
dao365-api,DAO365
ibeone,Beone Logistics
tcs,TCS
jcex,JCEX
zto-domestic,ZTO Express China
ltl,LTL
courant-plus,Courant Plus
rpm,RPM
wise-express,Wise Express
gojek-webhook,Gojek
raben-group,Raben Group
tnt-fr-reference-international-api,TNT France
procarrier,Pro Carrier
tiki,Tiki
swiship,Swiship
freightquote,Freightquote by C.H. Robinson
hellenic-post,Hellenic (Greece) Post
fedex-china,Fedex
purolator-api,Purolator
dpd-hungary,DPD Hungary
xdp-uk-reference,XDP Express Reference
radaro-webhook,Jungle Express
choirexpress,Choir Express Indonesia
loggi-api,Loggi
dicom,GLS Logistic Systems Canada Ltd./Dicom
pickrr,Pickrr
veho-api,Veho
flytexpress,Flyt Express
thailand-post,Thailand Thai Post
shipter,SHIPTER
eurodis,Eurodis
xdp-uk,XDP Express
purolator-international,Purolator International
sekologistics,SEKO Logistics
pts,PTS
esdex,Top Ideal Express
mbs-teliae-webhook,MBS Teliae
bneed,Bneed
gofo-express,GOFO
sf-express-api,SF Express
yurtici-kargo,Yurtici Kargo
budbee-webhook,Budbee
postnord,PostNord Logistics
eu-fleet-solutions,EU Fleet Solutions
spain-correos-es,Correos de España
fastway-au-api,Aramex Australia
newgisticsapi,Newgistics API
alljoy,ALLJOY SUPPLY CHAIN CO., LTD
rhenus-ch,Rhenus
aitworldwide-sftp,AIT
gpost,Georgian Post
skyexpress-international,SkyExpress Internationals
shipentegra,ShipEntegra
skynet,SkyNet Malaysia
pittohio,PITT OHIO
medline,Medline
bpost,Bpost
wizmo,Wizmo
pandion,Pandion
signialogistics-sftp,SIGNIA LOGISTICS S.A.C.
thedeliverygroup,TDG – The Delivery Group
rohlig,Rohlig
passportshipping,Passport Shipping
cj-philippines,CJ Transnational Philippines
emirates-post,Emirates Post
apc-overnight,APC Overnight
trans2u,Trans2u
tnt-fr,TNT France
cj-hk-international,CJ Logistics International(Hong Kong)
amazon-uk-api,Amazon Shipping
thunderexpress,Thunder Express Australia
i-dika,i-dika
rzyexpress,RZY Express
canpar,Canpar Courier
osm-worldwide,OSM Worldwide
skynet-za,Skynet World Wide Express South Africa
yingnuo-logistics,英诺供应链
sky-postal,SkyPostal
mondialrelay,Mondial Relay
neweggexpress,Newegg Express
dpd,DPD
europaket-api,Europacket+
globegistics,Globegistics Inc.
xpo-es,XPO Logistics
pitney-bowes,Pitney Bowes
speedx,SpeedX
emile,Emile
cnwglobal-api,Courier Network Inc
mexico-senda-express,Mexico Senda Express
celeritas-ftp,Celeritas Transporte, S.L
nimbuspost,NimbusPost
dmfgroup,DMF
fonsen,Fonsen Logistics
spectran,Spectran
mexico-redpack,Mexico Redpack
siodemka,Siodemka
old-dominion,Old Dominion Freight Line
mailplus-jp,MailPlus (Japan)
domino,DOMINO
epostglobal,ePost Global
tnt-reference,TNT Reference
dhl-ecommerce-gc-api,DHL Global Forwarding eCommerce
matkahuolto,Matkahuolto
gcx,GC Express
daiichi,Daiichi Freight System Inc
tazmanian-freight,Tazmanian Freight Systems
postnl,PostNL Domestic
komon-express,Komon Express
orbico-group-ftp,Orbico Group
hellmann,Hellmann Worldwide Logistics, Inc
indopaket,INDOPAKET
poczta-polska,Poczta Polska
hfd,HFD
interparcel-nz,Interparcel New Zealand
spx-ph,Shopee Express (Philippines)
deutsch-post,Deutsche Post Mail
fnf-za,Fast & Furious
mwd-api,Metropolitan Warehouse & Delivery
kdexp,Kyungdong Parcel
forwardair,Forward Air
dpd-ireland,DPD Ireland
sefl,Southeastern Freight Lines
frontdoorcorp,FRONTdoor Collective
worldnet,Worldnet Logistics
norsk-global,Norsk Global
360lion,360 Lion Express
dtw-ftp,DTW
bond,Bond
promeddelivery,ProMed Delivery, Inc.
pos-indonesia,Pos Indonesia Domestic
asendia,Asendia Global
sfc,SFC
kronos,Kronos Express
yunant,Yunant
jam-express,Jam Express
lwe-hk,Logistic Worldwide Express
sway-webhook,Sway 
air-canada-global,Rivo
malca-amit,Malca-Amit
xpressen-dk,Xpressen
venipak,Venipak
jersey-post,Jersey Post
spx,Shopee Express (Indonesia)
brt-it-sender-ref,BRT Bartolini(Sender Reference)
vox,VOX SOLUCION EMPRESARIAL SRL
intelipost,Intelipost (TMS for LATAM)
jumppoint,Jumppoint
moran-api,Moran Transportation Corporation
tamergroup-webhook,Tamer Logistics
logisystems-sftp,Kiitäjät
mail-box-etc,Mail Boxes Etc.
ocs-worldwide,OCS WORLDWIDE
lctbr-api,LCT do Brasil
btxglobal-ftp,BTX GLOBAL LOGISTICS
ec-firstclass,Chukou1
blinklastmile,Blink
inntralog-sftp,Inntralog GmbH
omniva,Omniva
seino-super-express,Seino Super Express
dynamic-logistics,Dynamic Logistics
vertchezvous,Vert Chez Vous (Labatut Group)
tigfreight,TIG Freight
gls-netherlands-webhook,GLS Netherlands
mrw-spain,MRW
viettelpost,ViettelPost
dexpress-webhook,D Express
chronodiali-webhook,chronodiali
leader,Leader
anserx,ANSERX
pack-man,Pack-Man
coretrails,Coretrails
wmgdelivery,WMG Group
collectco,CollectCo
solistica-api,solistica
hsdexpress,HSDEXPRESS
stepforwardfs,STEP FORWARD FREIGHT SERVICE CO LTD
cpex,Captain Express International
jtexpress,J&T EXPRESS MALAYSIA
sapo,South African Post Office
parceltopost,Parcel To Post
ems,EMS
tnt-click,TNT-Click Italy
aduiepyle,A Duie Pyle
araskargo,Aras Cargo
tasco-my-webhook,TASCO BERHAD
tophatterexpress,Tophatter Express
general-overnight-ftp,Go Express and logistics
logistify-api,Logistify
national-sameday,National Sameday
planzer,Planzer Group
ecofreight,Eco Freight
srekorea,SRE Korea
dsv-are-webhook,DSV UAE
dhl-supplychain-apac,DHL Supply Chain APAC
huodull,Huodull
jerseypost-atlas,Jersey Post Group
inpost-uk,InPost
mothership-api,Mothership
doora,Doora Logistics
didadi,DIDADI Logistics tech
dhl-global-mail,DHL eCommerce
bettertrucks,Better Trucks
essers-api,Essers
directlog,Directlog
hipshipper,Hipshipper
shadowfax,Shadowfax
postone,Post ONE
redjepakketje,Red je Pakketje
tnt-fr-reference,TNT France Reference
italy-sda,Italy SDA
gac-webhook,GAC
smtl,Southwestern Motor Transport. Inc
portugal-ctt,Portugal CTT
kedaex,KedaEX
superpackline,Super Pac Line
4-72,4-72 Entregando
couriers-please,Couriers Please
hunter-express,Hunter Express
oakh,Oakh Harbour Freight Lines
sameday,Sameday
jitsu,Jitsu
xindus,Xindus
gls-croatia,GLS Croatia
intexpress,Internet Express
dpd-poland,DPD Poland
canada-post,Canada Post
kwe-global,KWE Global
klg-sftp,KLG Europe Venlo BV
j-net,J-Net
mobiletyreshop-webhook,Mobile Tyre Shop
welivery,Welivery
dialogo-logistica,Dialogo Logistica
amazon,Amazon Shipping + Amazon MCF
faxecargo,Faxe Cargo
godependable,Dependable Supply Chain Services
sweden-posten,PostNord Sweden
sfb2c,SF International
jtexpress-br-api,J&T Express Brazil
sf-express-cn,SF Express China
fastbox,Fastbox
track-pod-webhook,Track POD
sutton,Sutton Transport
rxo-api,RXO
coll-8-sftp,Coll-8
nanjingwoyuan,Nanjing Woyuan
ameriship-api,Ameriship
shipbob,ShipBob
apg,APG eCommerce Solutions Ltd.
gojavas,GoJavas
flightlg,Flight Logistics Group
jas-webhook,JAS
activos24-api,Activos24
trans-kargo,Trans Kargo Internasional
urb-it,Urb-it
taqbin-sg,Yamato Singapore
fnacdarty-sftp,FNAC DARTY
tuffnells,Tuffnells Parcels Express
comet-tech,CometTech
typ,TYP
oneclick,One click delivery services
toll-priority,Team Global Express
dhl-hk,DHL Hong Kong
speedex,SPEEDEX
anjun,Anjun
malaysia-post,Malaysia Post EMS / Pos Laju
orangedsinc,OrangeDS (Orange Distribution Solutions Inc)
cbl-logistica,CBL Logistica
luwjistik,Luwjistik
birdsystem,BirdSystem
yodeldirect,Yodel Direct
weworldexpress,We World Express
integra2-ftp,Integra2
tanet,Transport Ambientales
returnmates-webhook,Returnmates, Inc.
dawnwing,Dawn Wing
atshealthcare,ATS Healthcare
deliverr-sftp,Deliverr
nightline,Nightline
productcaregroup-sftp,Product Care Services Limited
wanbexpress,WanbExpress
gls-us,GLS USA
gls,GLS
transvirtual,TransVirtual
taqbin-hk,TAQBIN Hong Kong
skynetworldwide-in,SkyNet Worldwide Express India
dhlparcel-uk,DHL eCommerce UK
ship-it-asia,Ship It Asia
boxcheck-api,Boxcheck
shipxpres,SHIPXPRESS
cirrotrack,CIRRO Track 
osm-worldwide-sftp,OSM Worldwide
tarrive,TONDA GLOBAL
wiseloads,Wiseloads
vesyl-api,Vesyl
fitzmark-api,FitzMark
stone3pl,STONE3PL
ninjavan-vn,Ninjavan Vietnam
thabit-logistics,Thabit Logistics
crossflight,Crossflight Limited
taqbin-taiwan,PRESIDENT TRANSNET CORP
sdh-scm,闪电猴
bluecare,Bluecare Express Ltd
sk-posta,Slovenská pošta, a.s.
relaiscolis-api,Relais Colis
courierexpress-sftp,Courier Express
shopline,shopline
efwnow-api,Estes Forwarding Worldwide
franco,Corriere Franco
etotal,eTotal Solution Limited
tvsscs-webhook,TVS Supply Chain Solutions
parcelinklogistics,Parcelink Logistics
fdsexpress,FDSEXPRESS
fedex-freight,FedEx® Freight
jet-ship,Jet-Ship Worldwide
buffalo,BUFFALO
boxc,BoxC
ceskaposta,Czech Post
amazon-fba-swiship-de,Swiship DE
smartkargo,DeliverDirect
uber-webhook,Uber
hepsijet,hepsiJET
dsv,DSV
cathedis-api,Cathedis
envialia-reference,Envialia Reference
cargopartner-api,Cargo Partner
veho,Veho
mgcargo,MG Cargo
kerryttc-vn,Kerry Express (Vietnam) Co Ltd
easyparcel,Easyparcel
dealer-send,DealerSend
brt-it,BRT Bartolini
dpd-at-sftp,DPD Austria
mobelservices,Mobel Services
nippon-express,Nippon Express
loomis-express,Loomis Express
ets-express,RETS express
kpost,Korea Post
sfydexpress,SFYD Express
packfleet,PACKFLEET
intex-de,INTEX Paketdienst GmbH
aeroflash,Mexico AeroFlash
paack,Paack
globavend,Globavend
jadlog,Jadlog
lasership,LaserShip
toll-nz,Team Global Express
smartcat,SMARTCAT
poste-italiane,Poste Italiane
nacex-spain,NACEX Spain
tdn-api,TDN
icumulus,iCumulus
jusdasr,准时达跨境
alphafast,alphaFAST
sic-teliway,Teliway SIC Express
correoar-webhook,Correo Argentino
dtdc-au,DTDC Australia
discountpost,Discount Post
p2p,p2p
fasttrack,Fasttrack
torrestir,Torrestir
spring-gds,Spring GDS
dsv-reference,DSV Futurewave
uniuni-webhook,Uniuni
arco-spedizioni,Arco Spedizioni SP
tuffnells-reference,Tuffnells Parcels Express- Reference
transpak,Transpak Inc.
wspexpress,WSP Express
palletways,Palletways
quiqup,Quiqup
barqexp,Barq
hdb,Haidaibao
joom-logistics,Joom Logistics
gps,GPS
nipost,NiPost
an-post,An Post
xpressbees,XpressBees
anteraja,Anteraja
hct-logistics,HCT LOGISTICS CO.LTD.
always-express,Always Express
mobi-br,Mobi Logistica
imile,iMile
celeritas,Celeritas Transporte, S.L
chitchats,Chit Chats
dhl-global-forwarding-api,DHL Global Forwarding API
3jmslogistics,3JMS Logistics
parcelpoint,ParcelPoint Pty Ltd
mondialrelay-fr,Mondial Relay France
seino,Seino
tnt-uk-reference,TNT UK Reference
jx,JX
qwintry,Qwintry Logistics
ontrac-sftp,OnTrac
energologistic,Energo Logistic
netlogixgroup,Netlogix
omnirps-webhook,Omni Returns
sendparcel,Sendparcel
lalamove-api,Lalamove
i-parcel,i-parcel
nacex,NACEX
rincos,Rincos
jd-worldwide,JD Worldwide
dpe-za,DPE South Africa
ozeparts-shipping,Ozeparts Shipping
cuckooexpress,Cuckoo Express
shipx,ShipX
amazon-fba-swiship-in,Swiship IN
cdek,CDEK
ydex,Shenzhen 1st International Logistics(Group)Co,Ltd
magyar-posta-api,Magyar Posta
tnt,TNT
imile-api,iMile
dhl-freight,DHL Freight
firstlogistics,First Logistics
dao365,DAO365
qls-ftp,QLS
posta-romana,Poșta Română
sypost,Sunyou Post
nhans-solutions,Nhans Solutions
parcelled-in,Parcelled.in
landmark-global,Landmark Global
zeek,Zeek2Door
easy-mail,Easy Mail
marken,Marken
trusk,Trusk France
dpd-ch-sftp,DPD Switzerland
bollore-logistics,Bollore Logistics
dhl-reference-api,DHL (Reference number)
viaeurope,ViaEurope
hermes,Hermesworld
acscourier,ACS Courier
dhl-ecommerce-gc,DHL Global Forwarding eCommerce
gofoexpress-nl,GOFO Netherlands
gls-slovakia,GLS General Logistics Systems Slovakia s.r.o.
orangedsinc-ftp,OrangeDS (Orange Distribution Solutions Inc)
dhl-supply-chain-au,DHL Supply Chain Australia
fastship,Fastship Express
fujexp,FUJIE EXPRESS
ups,UPS
exelot-ftp,Exelot Ltd.
goglobalpost,Global Post
geodis-sftp,GEODIS - Distribution & Express
cainiao,Cainiao
virtransport,VIR Transport
srt-transport,SRT Transport
deliveright-webhook,Deliveright
gls-slovenia,GLS Slovenia
fedex-crossborder,FedEx® Cross Border
rocketparcel,Rocket Parcel International
geodis-calberson-fr-api,GEODIS - Distribution & Express
pandago-api,Pandago
ekart,Ekart
acsworldwide,ACS Worldwide Express
usps,USPS
jinsung,JINSUNG TRADING
lalamove,Lalamove
be,北俄国际
liefergrun,LIEFERGRUN
ramgroup-za,RAM
citylinkexpress,City-Link Express
ups-reference,UPS Reference
deltec-courier,Deltec Courier
trackon,Trackon Couriers Pvt. Ltd
singapore-speedpost,Singapore Speedpost
general-overnight,Go Express and logistics
nationex-ftp,Nationex
cimc-webhook,CIMC
tdn,TDN
gls-italy,GLS Italy
australia-post,Australia Post
eshipping,Eshipping
echo,Echo
